,loss,accuracy,val_loss,val_accuracy
0,1.7072317600250244,0.3800467252731323,1.192582130432129,0.5875875949859619
1,1.2249691486358643,0.5665665864944458,0.8985190987586975,0.7097097039222717
2,0.9801943898200989,0.6649983525276184,0.7792012691497803,0.7442442178726196
3,0.8520940542221069,0.7132132053375244,0.6993425488471985,0.7627627849578857
4,0.7613722085952759,0.7410743832588196,0.6114140748977661,0.7967967987060547
5,0.6604804396629333,0.7734401226043701,0.5742388367652893,0.7992992997169495
6,0.5993834733963013,0.7972972989082336,0.5256381630897522,0.8218218088150024
7,0.5315552949905396,0.8188188076019287,0.5173194408416748,0.8223223090171814
8,0.4929340183734894,0.83416748046875,0.48642754554748535,0.8413413166999817
9,0.44461849331855774,0.8513513803482056,0.45981869101524353,0.8463463187217712
10,0.3982105851173401,0.8667000532150269,0.4280174970626831,0.8543543815612793
11,0.3674730658531189,0.8782115578651428,0.4538538455963135,0.8418418169021606
12,0.3445527255535126,0.8870537281036377,0.40892747044563293,0.8613613843917847
13,0.2986859679222107,0.9015682339668274,0.41346845030784607,0.8588588833808899
14,0.28349584341049194,0.9067400693893433,0.3867661654949188,0.86836838722229
15,0.26959899067878723,0.913913905620575,0.397919237613678,0.8703703880310059
16,0.2437286078929901,0.9197530746459961,0.4067503809928894,0.8643643856048584
17,0.237113818526268,0.9222555756568909,0.3973850905895233,0.868868887424469
18,0.21393100917339325,0.928595244884491,0.36347508430480957,0.8828828930854797
19,0.1955789178609848,0.9319319128990173,0.3602482080459595,0.8838838934898376
20,0.17859147489070892,0.9406072497367859,0.3997994065284729,0.8733733892440796
21,0.18290959298610687,0.9384384155273438,0.3893965184688568,0.8823823928833008
22,0.1653781235218048,0.9466132521629333,0.35291212797164917,0.8898898959159851
23,0.16378894448280334,0.9499499201774597,0.3785019814968109,0.8823823928833008
24,0.1466667205095291,0.951785147190094,0.39294084906578064,0.8858858942985535
25,0.13750816881656647,0.9556223154067993,0.3735862374305725,0.8883883953094482
26,0.13860169053077698,0.954954981803894,0.3811013698577881,0.8853853940963745
27,0.1292046755552292,0.959626317024231,0.3901030719280243,0.8858858942985535
28,0.11177016794681549,0.9642976522445679,0.3859301507472992,0.891391396522522
29,0.11378708481788635,0.9626293182373047,0.3869020938873291,0.8928928971290588
30,0.12600313127040863,0.9587921500205994,0.37891265749931335,0.8893893957138062
31,0.10699770599603653,0.9637971520423889,0.41216593980789185,0.8878878951072693
32,0.1045546606183052,0.9649649858474731,0.38306859135627747,0.8938938975334167
33,0.10371503978967667,0.9671338200569153,0.37432482838630676,0.8953953981399536
34,0.09341073036193848,0.9684684872627258,0.3776811957359314,0.8963963985443115
35,0.0825919434428215,0.9736403226852417,0.37937185168266296,0.8983983993530273
36,0.08398746699094772,0.9728061556816101,0.40817001461982727,0.8963963985443115
37,0.09142535924911499,0.9721388220787048,0.40690475702285767,0.8968968987464905
38,0.10164244472980499,0.9681348204612732,0.40810227394104004,0.8898898959159851
39,0.08892947435379028,0.9696363210678101,0.39751550555229187,0.8923923969268799
40,0.08909643441438675,0.9716383218765259,0.39394479990005493,0.8973973989486694
41,0.06673514097929001,0.9791458249092102,0.36687326431274414,0.9039039015769958
42,0.0637006163597107,0.9799799919128418,0.40798404812812805,0.8948948979377747
