,loss,dense_37_loss,dense_34_loss,dense_36_loss,dense_37_accuracy,dense_34_accuracy,dense_36_accuracy,val_loss,val_dense_37_loss,val_dense_34_loss,val_dense_36_loss,val_dense_37_accuracy,val_dense_34_accuracy,val_dense_36_accuracy
0,7.378023147583008,2.405959367752075,2.5712077617645264,2.40085506439209,0.09467918425798416,0.12206573039293289,0.10250391066074371,6.847501754760742,2.299872875213623,2.249587297439575,2.298041582107544,0.10625000298023224,0.16500000655651093,0.17499999701976776
1,6.7392048835754395,2.2755889892578125,2.198542594909668,2.265072822570801,0.1341940462589264,0.1823161244392395,0.14319248497486115,6.467045307159424,2.1741139888763428,2.1270182132720947,2.1659131050109863,0.1837500035762787,0.20000000298023224,0.21125000715255737
2,6.487828731536865,2.1956722736358643,2.1334621906280518,2.158693313598633,0.16744914650917053,0.20500782132148743,0.19366197288036346,6.682054042816162,2.2692041397094727,2.148017406463623,2.2648324966430664,0.16249999403953552,0.26124998927116394,0.16750000417232513
3,6.483531951904297,2.2105674743652344,2.1029629707336426,2.170001983642578,0.18388105928897858,0.2175273895263672,0.21048513054847717,6.169889450073242,2.0980076789855957,2.001793146133423,2.0700888633728027,0.19249999523162842,0.2837499976158142,0.26374998688697815
4,6.076103210449219,2.0702064037323,1.9777743816375732,2.028122901916504,0.21283255517482758,0.27386540174484253,0.2511737048625946,5.6719841957092285,1.9684900045394897,1.8163646459579468,1.8871290683746338,0.23874999582767487,0.33500000834465027,0.29750001430511475
5,5.870150566101074,2.00628662109375,1.8993579149246216,1.9645060300827026,0.24452269077301025,0.2992957830429077,0.26877933740615845,5.709339141845703,1.9706463813781738,1.8391250371932983,1.8995678424835205,0.2537499964237213,0.33125001192092896,0.30375000834465027
6,5.515899658203125,1.9043312072753906,1.784049153327942,1.8275200128555298,0.271909236907959,0.33998435735702515,0.3239436745643616,5.155539035797119,1.8143136501312256,1.6581969261169434,1.683027744293213,0.2837499976158142,0.3987500071525574,0.39750000834465027
7,5.284051895141602,1.8243513107299805,1.7163362503051758,1.7433640956878662,0.3079029619693756,0.3661971688270569,0.3513301908969879,5.019059658050537,1.7221555709838867,1.6690908670425415,1.6278132200241089,0.3675000071525574,0.36250001192092896,0.39375001192092896
8,4.913347244262695,1.6836583614349365,1.6086394786834717,1.6210496425628662,0.3638497591018677,0.4092331826686859,0.4119718372821808,6.36593770980835,2.2381606101989746,1.8691420555114746,2.2586352825164795,0.22750000655651093,0.3112500011920929,0.20374999940395355
9,5.193883895874023,1.7822301387786865,1.6784861087799072,1.7331680059432983,0.34233176708221436,0.3947574198246002,0.37245696783065796,4.495129108428955,1.5781073570251465,1.4190397262573242,1.497982144355774,0.4087499976158142,0.4962500035762787,0.4437499940395355
